#    L    TT             EE             BB             TE             PP             PT             PE         
   131    3.74678E+03    1.12428E+00    1.99841E-02   -4.16469E+01    8.43703E-08    2.69865E-04   -9.98571E-07
   132    3.78094E+03    1.12813E+00    1.98334E-02   -4.20477E+01    8.38623E-08    2.67183E-04   -1.01011E-06
   133    3.81509E+03    1.13148E+00    1.96834E-02   -4.24321E+01    8.33584E-08    2.64547E-04   -1.02022E-06
   134    3.84921E+03    1.13436E+00    1.95342E-02   -4.27995E+01    8.28586E-08    2.61956E-04   -1.02895E-06
   135    3.88331E+03    1.13673E+00    1.93860E-02   -4.31497E+01    8.23628E-08    2.59407E-04   -1.03636E-06
   136    3.91737E+03    1.13861E+00    1.92390E-02   -4.34819E+01    8.18710E-08    2.56901E-04   -1.04248E-06
   137    3.95139E+03    1.13999E+00    1.90933E-02   -4.37959E+01    8.13831E-08    2.54435E-04   -1.04737E-06
   138    3.98536E+03    1.14088E+00    1.89492E-02   -4.40911E+01    8.08992E-08    2.52008E-04   -1.05109E-06
   139    4.01926E+03    1.14128E+00    1.88069E-02   -4.43673E+01    8.04192E-08    2.49619E-04   -1.05367E-06
   140    4.05311E+03    1.14117E+00    1.86665E-02   -4.46240E+01    7.99431E-08    2.47267E-04   -1.05516E-06
   141    4.08688E+03    1.14059E+00    1.85283E-02   -4.48609E+01    7.94709E-08    2.44950E-04   -1.05562E-06
   142    4.12056E+03    1.13951E+00    1.83925E-02   -4.50774E+01    7.90025E-08    2.42668E-04   -1.05510E-06
   143    4.15417E+03    1.13794E+00    1.82592E-02   -4.52733E+01    7.85379E-08    2.40418E-04   -1.05364E-06
   144    4.18766E+03    1.13590E+00    1.81287E-02   -4.54482E+01    7.80770E-08    2.38200E-04   -1.05129E-06
   145    4.22106E+03    1.13337E+00    1.80011E-02   -4.56015E+01    7.76199E-08    2.36012E-04   -1.04811E-06
   146    4.25432E+03    1.13037E+00    1.78766E-02   -4.57332E+01    7.71665E-08    2.33853E-04   -1.04413E-06
   147    4.28744E+03    1.12691E+00    1.77555E-02   -4.58426E+01    7.67169E-08    2.31721E-04   -1.03941E-06
   148    4.32041E+03    1.12298E+00    1.76379E-02   -4.59294E+01    7.62709E-08    2.29616E-04   -1.03400E-06
   149    4.35321E+03    1.11861E+00    1.75240E-02   -4.59932E+01    7.58285E-08    2.27537E-04   -1.02795E-06
   150    4.38583E+03    1.11379E+00    1.74140E-02   -4.60337E+01    7.53897E-08    2.25481E-04   -1.02130E-06
   151    4.41825E+03    1.10854E+00    1.73081E-02   -4.60505E+01    7.49546E-08    2.23447E-04   -1.01410E-06
   152    4.45048E+03    1.10285E+00    1.72064E-02   -4.60434E+01    7.45230E-08    2.21437E-04   -1.00638E-06
   153    4.48249E+03    1.09675E+00    1.71089E-02   -4.60120E+01    7.40949E-08    2.19448E-04   -9.98154E-07
   154    4.51429E+03    1.09026E+00    1.70157E-02   -4.59563E+01    7.36704E-08    2.17482E-04   -9.89446E-07
   155    4.54588E+03    1.08337E+00    1.69269E-02   -4.58757E+01    7.32493E-08    2.15537E-04   -9.80277E-07
   156    4.57725E+03    1.07610E+00    1.68426E-02   -4.57703E+01    7.28318E-08    2.13615E-04   -9.70667E-07
