#  L 		 TT 		 EE 		 BB 		 TE 		 TB 		 EB
 134     1.08562e+00     1.43280e-02     3.41909e-03     4.17061e-02    -4.18826e-04     1.02611e-02
 135     1.07731e+00     1.38986e-02     3.89686e-03     4.24410e-02    -5.43129e-04     8.95269e-03
 136     1.07096e+00     1.32542e-02     4.45114e-03     4.25085e-02    -6.97479e-04     7.63329e-03
 137     1.06661e+00     1.24243e-02     5.04634e-03     4.17665e-02    -8.99934e-04     6.38360e-03
 138     1.06408e+00     1.14530e-02     5.64492e-03     4.01030e-02    -1.16592e-03     5.27148e-03
 139     1.06307e+00     1.03982e-02     6.20788e-03     3.74491e-02    -1.50586e-03     4.35770e-03
 140     1.06340e+00     9.33267e-03     6.69786e-03     3.38033e-02    -1.92339e-03     3.70086e-03
 141     1.06471e+00     8.33582e-03     7.07981e-03     2.92333e-02    -2.41312e-03     3.35634e-03
 142     1.06676e+00     7.49116e-03     7.32632e-03     2.38945e-02    -2.96004e-03     3.37478e-03
 143     1.06932e+00     6.87659e-03     7.42120e-03     1.80251e-02    -3.53949e-03     3.79596e-03
 144     1.07208e+00     6.55459e-03     7.36240e-03     1.19314e-02    -4.11835e-03     4.64122e-03
 145     1.07473e+00     6.56434e-03     7.16486e-03     5.96490e-03    -4.65794e-03     5.90687e-03
 146     1.07695e+00     6.91558e-03     6.86020e-03     4.86978e-04    -5.11770e-03     7.55952e-03
 147     1.07804e+00     7.58458e-03     6.49191e-03    -4.16589e-03    -5.45728e-03     9.53243e-03
 148     1.07738e+00     8.51850e-03     6.11302e-03    -7.71112e-03    -5.64160e-03     1.17294e-02
 149     1.07403e+00     9.63883e-03     5.77792e-03    -9.94245e-03    -5.64200e-03     1.40275e-02
 150     1.06703e+00     1.08502e-02     5.53642e-03    -1.07436e-02    -5.43908e-03     1.62851e-02
 151     1.05545e+00     1.20501e-02     5.42744e-03    -1.00954e-02    -5.02489e-03     1.83518e-02
 152     1.03851e+00     1.31388e-02     5.47301e-03    -8.07722e-03    -4.40447e-03     2.00799e-02
 153     1.01603e+00     1.40333e-02     5.67627e-03    -4.86422e-03    -3.59887e-03     2.13436e-02
 154     9.88317e-01     1.46737e-02     6.01914e-03    -7.11831e-04    -2.64393e-03     2.20483e-02
 155     9.56581e-01     1.50355e-02     6.46744e-03     4.06730e-03    -1.58976e-03     2.21493e-02
 156     9.22600e-01     1.51265e-02     6.97600e-03     9.13996e-03    -4.95162e-04     2.16502e-02
 157     8.88764e-01     1.49870e-02     7.49936e-03     1.41932e-02     5.78565e-04     2.06025e-02
 158     8.57516e-01     1.46751e-02     7.99897e-03     1.89683e-02     1.57492e-03     1.90847e-02
 159     8.31163e-01     1.42565e-02     8.45044e-03     2.32827e-02     2.44746e-03     1.71853e-02
 160     8.11584e-01     1.37916e-02     8.84581e-03     2.70339e-02     3.16244e-03     1.49830e-02
 161     8.00046e-01     1.33269e-02     9.19170e-03     3.01870e-02     3.69824e-03     1.25329e-02
 162     7.97245e-01     1.28916e-02     9.50615e-03     3.27566e-02     4.04328e-03     9.86248e-03
 163     8.03296e-01     1.24977e-02     9.81298e-03     3.47845e-02     4.19277e-03     6.97495e-03
 164     8.17755e-01     1.21415e-02     1.01360e-02     3.63209e-02     4.14622e-03     3.85894e-03
 165     8.39810e-01     1.18110e-02     1.04956e-02     3.74203e-02     3.90740e-03     5.05293e-04
 166     8.68037e-01     1.14864e-02     1.09010e-02     3.81265e-02     3.48420e-03    -3.07509e-03
 167     9.00573e-01     1.11491e-02     1.13473e-02     3.84838e-02     2.89275e-03    -6.82852e-03
 168     9.34849e-01     1.07834e-02     1.18078e-02     3.85314e-02     2.16102e-03    -1.06368e-02
 169     9.67958e-01     1.03862e-02     1.22357e-02     3.83254e-02     1.33462e-03    -1.43061e-02
 170     9.96628e-01     9.96742e-03     1.25622e-02     3.79345e-02     4.78475e-04    -1.75698e-02
 171     1.01783e+00     9.55375e-03     1.27077e-02     3.74490e-02    -3.25517e-04    -2.01226e-02
 172     1.02937e+00     9.18408e-03     1.25971e-02     3.69719e-02    -9.88851e-04    -2.16833e-02
 173     1.03040e+00     8.90055e-03     1.21804e-02     3.66017e-02    -1.43296e-03    -2.20721e-02
 174     1.02181e+00     8.73710e-03     1.14493e-02     3.64125e-02    -1.60701e-03    -2.12758e-02
 175     1.00581e+00     8.70793e-03     1.04415e-02     3.64318e-02    -1.49923e-03    -1.94638e-02
 176     9.85360e-01     8.80321e-03     9.23345e-03     3.66358e-02    -1.13763e-03    -1.69564e-02
 177     9.63435e-01     8.99144e-03     7.92394e-03     3.69575e-02    -5.80825e-04    -1.41554e-02
 178     9.42364e-01     9.22657e-03     6.61583e-03     3.73032e-02     9.58880e-05    -1.14683e-02
 179     9.23483e-01     9.45642e-03     5.40188e-03     3.75703e-02     8.13727e-04    -9.24773e-03
 180     9.07123e-01     9.63085e-03     4.35694e-03     3.76660e-02     1.49973e-03    -7.75689e-03
 181     8.92755e-01     9.70779e-03     3.53456e-03     3.75200e-02     2.09220e-03    -7.15265e-03
