#    L    TT             EE             BB             TE          
   281   0.469088E+04   0.603778E+01   0.388716E-01   0.105677E+03
   282   0.466012E+04   0.618761E+01   0.389463E-01   0.106650E+03
   283   0.462921E+04   0.633937E+01   0.390186E-01   0.107592E+03
   284   0.459808E+04   0.649298E+01   0.390886E-01   0.108504E+03
   285   0.456673E+04   0.664844E+01   0.391565E-01   0.109387E+03
   286   0.453508E+04   0.680561E+01   0.392222E-01   0.110231E+03
   287   0.450321E+04   0.696448E+01   0.392859E-01   0.111053E+03
   288   0.447119E+04   0.712505E+01   0.393477E-01   0.111837E+03
   289   0.443895E+04   0.728725E+01   0.394075E-01   0.112591E+03
   290   0.440656E+04   0.745093E+01   0.394656E-01   0.113315E+03
   291   0.437403E+04   0.761683E+01   0.395219E-01   0.113994E+03
   292   0.434105E+04   0.778383E+01   0.395766E-01   0.114650E+03
   293   0.430823E+04   0.795157E+01   0.396298E-01   0.115261E+03
   294   0.427511E+04   0.812152E+01   0.396814E-01   0.115849E+03
   295   0.424207E+04   0.829221E+01   0.397317E-01   0.116392E+03
   296   0.420874E+04   0.846512E+01   0.397806E-01   0.116905E+03
   297   0.417534E+04   0.863802E+01   0.398283E-01   0.117388E+03
   298   0.414173E+04   0.881313E+01   0.398748E-01   0.117826E+03
   299   0.410812E+04   0.898971E+01   0.399203E-01   0.118226E+03
   300   0.407436E+04   0.916629E+01   0.399648E-01   0.118588E+03
   301   0.404054E+04   0.934433E+01   0.400084E-01   0.118920E+03
   302   0.400673E+04   0.952311E+01   0.400511E-01   0.119221E+03
   303   0.397285E+04   0.970336E+01   0.400930E-01   0.119478E+03
   304   0.393890E+04   0.988507E+01   0.401342E-01   0.119689E+03
   305   0.390495E+04   0.100668E+02   0.401747E-01   0.119871E+03
   306   0.387094E+04   0.102492E+02   0.402145E-01   0.120014E+03
   307   0.383694E+04   0.104323E+02   0.402538E-01   0.120113E+03
   308   0.380294E+04   0.106177E+02   0.402925E-01   0.120188E+03
   309   0.376903E+04   0.108023E+02   0.403308E-01   0.120211E+03
   310   0.373504E+04   0.109869E+02   0.403687E-01   0.120204E+03
   311   0.370114E+04   0.111736E+02   0.404062E-01   0.120152E+03
   312   0.366732E+04   0.113596E+02   0.404434E-01   0.120070E+03
   313   0.363350E+04   0.115464E+02   0.404804E-01   0.119942E+03
   314   0.359977E+04   0.117338E+02   0.405172E-01   0.119785E+03
   315   0.356611E+04   0.119205E+02   0.405539E-01   0.119582E+03
   316   0.353254E+04   0.121079E+02   0.405906E-01   0.119342E+03
   317   0.349905E+04   0.122945E+02   0.406272E-01   0.119064E+03
   318   0.346564E+04   0.124826E+02   0.406639E-01   0.118748E+03
   319   0.343238E+04   0.126699E+02   0.407007E-01   0.118395E+03
   320   0.339928E+04   0.128572E+02   0.407377E-01   0.118012E+03
   321   0.336626E+04   0.130451E+02   0.407749E-01   0.117584E+03
   322   0.333339E+04   0.132316E+02   0.408125E-01   0.117118E+03
   323   0.330068E+04   0.134181E+02   0.408504E-01   0.116615E+03
   324   0.326812E+04   0.136052E+02   0.408887E-01   0.116066E+03
   325   0.323579E+04   0.137894E+02   0.409276E-01   0.115495E+03
   326   0.320355E+04   0.139750E+02   0.409670E-01   0.114872E+03
   327   0.317153E+04   0.141598E+02   0.410070E-01   0.114218E+03
   328   0.313974E+04   0.143431E+02   0.410478E-01   0.113534E+03
   329   0.310810E+04   0.145264E+02   0.410893E-01   0.112806E+03
   330   0.307669E+04   0.147082E+02   0.411316E-01   0.112039E+03
   331   0.304559E+04   0.148891E+02   0.411748E-01   0.111243E+03
   332   0.301464E+04   0.150701E+02   0.412190E-01   0.110417E+03
   333   0.298392E+04   0.152495E+02   0.412643E-01   0.109553E+03
   334   0.295350E+04   0.154282E+02   0.413106E-01   0.108651E+03
   335   0.292324E+04   0.156045E+02   0.413582E-01   0.107712E+03
   336   0.289327E+04   0.157801E+02   0.414069E-01   0.106743E+03
   337   0.286361E+04   0.159550E+02   0.414570E-01   0.105729E+03
   338   0.283418E+04   0.161275E+02   0.415085E-01   0.104692E+03
   339   0.280513E+04   0.163001E+02   0.415615E-01   0.103618E+03
   340   0.277630E+04   0.164703E+02   0.416160E-01   0.102521E+03
   341   0.274770E+04   0.166383E+02   0.416721E-01   0.101379E+03
   342   0.271947E+04   0.168063E+02   0.417300E-01   0.100207E+03
   343   0.269155E+04   0.169713E+02   0.417895E-01   0.990049E+02
   344   0.266401E+04   0.171347E+02   0.418510E-01   0.977727E+02
   345   0.263669E+04   0.172959E+02   0.419143E-01   0.965104E+02
   346   0.260974E+04   0.174563E+02   0.419796E-01   0.952255E+02
   347   0.258310E+04   0.176137E+02   0.420470E-01   0.939030E+02
   348   0.255684E+04   0.177688E+02   0.421166E-01   0.925505E+02
   349   0.253087E+04   0.179224E+02   0.421884E-01   0.911678E+02
   350   0.250528E+04   0.180730E+02   0.422624E-01   0.897625E+02
   351   0.248022E+04   0.182221E+02   0.423389E-01   0.883271E+02
   352   0.245531E+04   0.183689E+02   0.424176E-01   0.868616E+02
   353   0.243084E+04   0.185127E+02   0.424987E-01   0.853809E+02
   354   0.240668E+04   0.186542E+02   0.425820E-01   0.838627E+02
   355   0.238297E+04   0.187935E+02   0.426674E-01   0.823220E+02
   356   0.235963E+04   0.189305E+02   0.427550E-01   0.807661E+02
   357   0.233667E+04   0.190646E+02   0.428446E-01   0.791803E+02
   358   0.231415E+04   0.191949E+02   0.429363E-01   0.775793E+02
   359   0.229194E+04   0.193229E+02   0.430299E-01   0.759485E+02
   360   0.227018E+04   0.194487E+02   0.431254E-01   0.742989E+02
   361   0.224879E+04   0.195714E+02   0.432228E-01   0.726260E+02
   362   0.222785E+04   0.196912E+02   0.433220E-01   0.709330E+02
   363   0.220729E+04   0.198087E+02   0.434230E-01   0.692220E+02
   364   0.218717E+04   0.199217E+02   0.435257E-01   0.674894E+02
   365   0.216743E+04   0.200325E+02   0.436301E-01   0.657411E+02
   366   0.214814E+04   0.201403E+02   0.437360E-01   0.639741E+02
   367   0.212930E+04   0.202436E+02   0.438435E-01   0.621907E+02
   368   0.211076E+04   0.203447E+02   0.439525E-01   0.603925E+02
   369   0.209282E+04   0.204427E+02   0.440630E-01   0.585771E+02
   370   0.207525E+04   0.205371E+02   0.441749E-01   0.567498E+02
   371   0.205806E+04   0.206277E+02   0.442881E-01   0.549070E+02
   372   0.204132E+04   0.207153E+02   0.444025E-01   0.530530E+02
   373   0.202503E+04   0.207991E+02   0.445183E-01   0.511850E+02
   374   0.200918E+04   0.208800E+02   0.446352E-01   0.493066E+02
   375   0.199371E+04   0.209572E+02   0.447532E-01   0.474180E+02
   376   0.197877E+04   0.210313E+02   0.448723E-01   0.455190E+02
   377   0.196427E+04   0.211010E+02   0.449925E-01   0.436127E+02
   378   0.195015E+04   0.211670E+02   0.451136E-01   0.416961E+02
   379   0.193648E+04   0.212300E+02   0.452356E-01   0.397737E+02
   380   0.192333E+04   0.212900E+02   0.453584E-01   0.378433E+02
   381   0.191056E+04   0.213433E+02   0.454821E-01   0.359079E+02
   382   0.189817E+04   0.213951E+02   0.456065E-01   0.339681E+02
   383   0.188629E+04   0.214424E+02   0.457316E-01   0.320227E+02
   384   0.187495E+04   0.214853E+02   0.458574E-01   0.300752E+02
   385   0.186390E+04   0.215259E+02   0.459837E-01   0.281242E+02
   386   0.185338E+04   0.215621E+02   0.461106E-01   0.261719E+02
   387   0.184323E+04   0.215938E+02   0.462379E-01   0.242185E+02
   388   0.183353E+04   0.216218E+02   0.463656E-01   0.222652E+02
   389   0.182429E+04   0.216438E+02   0.464937E-01   0.203122E+02
   390   0.181549E+04   0.216651E+02   0.466221E-01   0.183618E+02
   391   0.180714E+04   0.216812E+02   0.467507E-01   0.164123E+02
   392   0.179917E+04   0.216951E+02   0.468795E-01   0.144669E+02
   393   0.179173E+04   0.217038E+02   0.470084E-01   0.125248E+02
   394   0.178466E+04   0.217087E+02   0.471374E-01   0.105881E+02
