#    L    TT             EE             BB             TE          
   233   0.714102E+01   0.158922E-01   0.128868E-01  -0.491072E-01
   234   0.708706E+01   0.159760E-01   0.129445E-01  -0.547336E-01
   235   0.703030E+01   0.160687E-01   0.130020E-01  -0.602388E-01
   236   0.697082E+01   0.161698E-01   0.130588E-01  -0.656119E-01
   237   0.690870E+01   0.162788E-01   0.131148E-01  -0.708424E-01
   238   0.684402E+01   0.163953E-01   0.131697E-01  -0.759195E-01
   239   0.677688E+01   0.165187E-01   0.132232E-01  -0.808325E-01
   240   0.670734E+01   0.166485E-01   0.132750E-01  -0.855709E-01
   241   0.663550E+01   0.167844E-01   0.133250E-01  -0.901238E-01
   242   0.656144E+01   0.169257E-01   0.133728E-01  -0.944807E-01
   243   0.648523E+01   0.170721E-01   0.134183E-01  -0.986308E-01
   244   0.640698E+01   0.172230E-01   0.134610E-01  -0.102563E+00
   245   0.632675E+01   0.173780E-01   0.135008E-01  -0.106268E+00
   246   0.624463E+01   0.175366E-01   0.135374E-01  -0.109734E+00
   247   0.616070E+01   0.176982E-01   0.135706E-01  -0.112950E+00
   248   0.607505E+01   0.178625E-01   0.136001E-01  -0.115906E+00
   249   0.598776E+01   0.180289E-01   0.136256E-01  -0.118592E+00
   250   0.589892E+01   0.181969E-01   0.136469E-01  -0.120995E+00
   251   0.580860E+01   0.183661E-01   0.136638E-01  -0.123110E+00
   252   0.571691E+01   0.185363E-01   0.136763E-01  -0.124939E+00
   253   0.562394E+01   0.187071E-01   0.136845E-01  -0.126491E+00
   254   0.552979E+01   0.188783E-01   0.136884E-01  -0.127771E+00
   255   0.543455E+01   0.190497E-01   0.136883E-01  -0.128788E+00
   256   0.533833E+01   0.192211E-01   0.136840E-01  -0.129547E+00
   257   0.524121E+01   0.193921E-01   0.136758E-01  -0.130057E+00
   258   0.514331E+01   0.195626E-01   0.136638E-01  -0.130324E+00
   259   0.504471E+01   0.197322E-01   0.136479E-01  -0.130356E+00
   260   0.494551E+01   0.199008E-01   0.136283E-01  -0.130158E+00
   261   0.484581E+01   0.200681E-01   0.136051E-01  -0.129740E+00
   262   0.474571E+01   0.202339E-01   0.135784E-01  -0.129107E+00
   263   0.464531E+01   0.203979E-01   0.135482E-01  -0.128266E+00
   264   0.454469E+01   0.205598E-01   0.135146E-01  -0.127225E+00
   265   0.444397E+01   0.207194E-01   0.134778E-01  -0.125991E+00
   266   0.434322E+01   0.208765E-01   0.134378E-01  -0.124570E+00
   267   0.424257E+01   0.210308E-01   0.133946E-01  -0.122971E+00
   268   0.414209E+01   0.211821E-01   0.133484E-01  -0.121199E+00
   269   0.404189E+01   0.213301E-01   0.132993E-01  -0.119262E+00
   270   0.394207E+01   0.214746E-01   0.132474E-01  -0.117168E+00
   271   0.384272E+01   0.216154E-01   0.131927E-01  -0.114922E+00
