#    L    TT             EE             BB             TE         
   158    4.63754E+03    1.03579E+00    7.80275E-04   -4.55888E+01
   159    4.66838E+03    1.02759E+00    7.62757E-04   -4.54168E+01
   160    4.69897E+03    1.01906E+00    7.45584E-04   -4.52188E+01
   161    4.72928E+03    1.01022E+00    7.28762E-04   -4.49945E+01
   162    4.75931E+03    1.00108E+00    7.12296E-04   -4.47437E+01
   163    4.78904E+03    9.91670E-01    6.96193E-04   -4.44661E+01
   164    4.81846E+03    9.81991E-01    6.80458E-04   -4.41617E+01
   165    4.84756E+03    9.72065E-01    6.65096E-04   -4.38302E+01
   166    4.87633E+03    9.61914E-01    6.50115E-04   -4.34715E+01
   167    4.90476E+03    9.51561E-01    6.35520E-04   -4.30855E+01
   168    4.93285E+03    9.41027E-01    6.21318E-04   -4.26722E+01
   169    4.96058E+03    9.30335E-01    6.07512E-04   -4.22316E+01
   170    4.98796E+03    9.19500E-01    5.94111E-04   -4.17634E+01
   171    5.01495E+03    9.08551E-01    5.81120E-04   -4.12678E+01
   172    5.04158E+03    8.97511E-01    5.68544E-04   -4.07446E+01
   173    5.06781E+03    8.86402E-01    5.56390E-04   -4.01937E+01
   174    5.09365E+03    8.75246E-01    5.44663E-04   -3.96153E+01
   175    5.11909E+03    8.64080E-01    5.33370E-04   -3.90094E+01
   176    5.14411E+03    8.52920E-01    5.22514E-04   -3.83760E+01
   177    5.16871E+03    8.41802E-01    5.12090E-04   -3.77150E+01
   178    5.19288E+03    8.30749E-01    5.02091E-04   -3.70266E+01
   179    5.21661E+03    8.19783E-01    4.92509E-04   -3.63107E+01
   180    5.23990E+03    8.08942E-01    4.83336E-04   -3.55675E+01
   181    5.26273E+03    7.98255E-01    4.74566E-04   -3.47971E+01
   182    5.28510E+03    7.87754E-01    4.66191E-04   -3.39996E+01
   183    5.30701E+03    7.77459E-01    4.58203E-04   -3.31751E+01
   184    5.32844E+03    7.67409E-01    4.50595E-04   -3.23240E+01
   185    5.34939E+03    7.57641E-01    4.43359E-04   -3.14460E+01
   186    5.36984E+03    7.48176E-01    4.36489E-04   -3.05416E+01
   187    5.38980E+03    7.39047E-01    4.29976E-04   -2.96108E+01
   188    5.40926E+03    7.30293E-01    4.23814E-04   -2.86540E+01
   189    5.42821E+03    7.21946E-01    4.17995E-04   -2.76712E+01
   190    5.44664E+03    7.14040E-01    4.12511E-04   -2.66628E+01
   191    5.46454E+03    7.06607E-01    4.07354E-04   -2.56291E+01
   192    5.48191E+03    6.99682E-01    4.02519E-04   -2.45702E+01
   193    5.49874E+03    6.93299E-01    3.97997E-04   -2.34863E+01
   194    5.51502E+03    6.87494E-01    3.93780E-04   -2.23779E+01
   195    5.53076E+03    6.82303E-01    3.89862E-04   -2.12452E+01
   196    5.54594E+03    6.77761E-01    3.86234E-04   -2.00886E+01
   197    5.56057E+03    6.73906E-01    3.82890E-04   -1.89085E+01
   198    5.57466E+03    6.70773E-01    3.79822E-04   -1.77052E+01
   199    5.58816E+03    6.68400E-01    3.77022E-04   -1.64791E+01
   200    5.60111E+03    6.66820E-01    3.74484E-04   -1.52305E+01
   201    5.61349E+03    6.66073E-01    3.72199E-04   -1.39599E+01
   202    5.62528E+03    6.66195E-01    3.70161E-04   -1.26677E+01
   203    5.63648E+03    6.67221E-01    3.68360E-04   -1.13541E+01
   204    5.64707E+03    6.69189E-01    3.66790E-04   -1.00198E+01
   205    5.65704E+03    6.72136E-01    3.65442E-04   -8.66511E+00
   206    5.66640E+03    6.76097E-01    3.64310E-04   -7.29045E+00
   207    5.67511E+03    6.81110E-01    3.63384E-04   -5.89618E+00
   208    5.68319E+03    6.87212E-01    3.62658E-04   -4.48293E+00
   209    5.69066E+03    6.94438E-01    3.62124E-04   -3.05122E+00
   210    5.69749E+03    7.02825E-01    3.61773E-04   -1.60160E+00
   211    5.70371E+03    7.12412E-01    3.61599E-04   -1.34643E-01
   212    5.70932E+03    7.23232E-01    3.61593E-04    1.34910E+00
   213    5.71433E+03    7.35324E-01    3.61747E-04    2.84908E+00
   214    5.71874E+03    7.48725E-01    3.62054E-04    4.36472E+00
   215    5.72255E+03    7.63465E-01    3.62507E-04    5.89545E+00
   216    5.72574E+03    7.79588E-01    3.63096E-04    7.44066E+00
