#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
  2198   0.132669E+03  -0.868219E+00   0.310180E-06  -0.868219E+00   0.627218E+01   0.410100E-07   0.310180E-06   0.410100E-07   0.105121E-08
  2199   0.132004E+03  -0.938165E+00   0.310748E-06  -0.938165E+00   0.629658E+01   0.410703E-07   0.310748E-06   0.410703E-07   0.105002E-08
  2200   0.131353E+03  -0.100999E+01   0.311190E-06  -0.100999E+01   0.632051E+01   0.411313E-07   0.311190E-06   0.411313E-07   0.104884E-08
  2201   0.130710E+03  -0.108354E+01   0.311498E-06  -0.108354E+01   0.634405E+01   0.411931E-07   0.311498E-06   0.411931E-07   0.104766E-08
  2202   0.130068E+03  -0.115911E+01   0.311673E-06  -0.115911E+01   0.636699E+01   0.412557E-07   0.311673E-06   0.412557E-07   0.104647E-08
  2203   0.129448E+03  -0.123610E+01   0.311717E-06  -0.123610E+01   0.638954E+01   0.413192E-07   0.311717E-06   0.413192E-07   0.104530E-08
  2204   0.128821E+03  -0.131490E+01   0.311633E-06  -0.131490E+01   0.641155E+01   0.413835E-07   0.311633E-06   0.413835E-07   0.104412E-08
  2205   0.128216E+03  -0.139526E+01   0.311424E-06  -0.139526E+01   0.643295E+01   0.414485E-07   0.311424E-06   0.414485E-07   0.104294E-08
  2206   0.127612E+03  -0.147727E+01   0.311093E-06  -0.147727E+01   0.645389E+01   0.415141E-07   0.311093E-06   0.415141E-07   0.104177E-08
  2207   0.127015E+03  -0.156069E+01   0.310641E-06  -0.156069E+01   0.647429E+01   0.415802E-07   0.310641E-06   0.415802E-07   0.104059E-08
  2208   0.126434E+03  -0.164553E+01   0.310071E-06  -0.164553E+01   0.649422E+01   0.416469E-07   0.310071E-06   0.416469E-07   0.103942E-08
  2209   0.125852E+03  -0.173193E+01   0.309387E-06  -0.173193E+01   0.651347E+01   0.417141E-07   0.309387E-06   0.417141E-07   0.103825E-08
  2210   0.125286E+03  -0.181983E+01   0.308590E-06  -0.181983E+01   0.653218E+01   0.417816E-07   0.308590E-06   0.417816E-07   0.103708E-08
  2211   0.124728E+03  -0.190898E+01   0.307683E-06  -0.190898E+01   0.655043E+01   0.418495E-07   0.307683E-06   0.418495E-07   0.103591E-08
  2212   0.124178E+03  -0.199954E+01   0.306669E-06  -0.199954E+01   0.656792E+01   0.419177E-07   0.306669E-06   0.419177E-07   0.103475E-08
  2213   0.123635E+03  -0.209129E+01   0.305551E-06  -0.209129E+01   0.658494E+01   0.419861E-07   0.305551E-06   0.419861E-07   0.103358E-08
  2214   0.123100E+03  -0.218414E+01   0.304331E-06  -0.218414E+01   0.660135E+01   0.420547E-07   0.304331E-06   0.420547E-07   0.103242E-08
  2215   0.122572E+03  -0.227832E+01   0.303011E-06  -0.227832E+01   0.661722E+01   0.421234E-07   0.303011E-06   0.421234E-07   0.103126E-08
  2216   0.122052E+03  -0.237354E+01   0.301595E-06  -0.237354E+01   0.663233E+01   0.421921E-07   0.301595E-06   0.421921E-07   0.103010E-08
  2217   0.121548E+03  -0.246978E+01   0.300084E-06  -0.246978E+01   0.664689E+01   0.422608E-07   0.300084E-06   0.422608E-07   0.102894E-08
  2218   0.121044E+03  -0.256712E+01   0.298482E-06  -0.256712E+01   0.666077E+01   0.423295E-07   0.298482E-06   0.423295E-07   0.102778E-08
  2219   0.120562E+03  -0.266541E+01   0.296791E-06  -0.266541E+01   0.667403E+01   0.423980E-07   0.296791E-06   0.423980E-07   0.102663E-08
  2220   0.120081E+03  -0.276465E+01   0.295014E-06  -0.276465E+01   0.668676E+01   0.424663E-07   0.295014E-06   0.424663E-07   0.102548E-08
  2221   0.119600E+03  -0.286483E+01   0.293153E-06  -0.286483E+01   0.669879E+01   0.425344E-07   0.293153E-06   0.425344E-07   0.102432E-08
  2222   0.119141E+03  -0.296566E+01   0.291211E-06  -0.296566E+01   0.671013E+01   0.426022E-07   0.291211E-06   0.426022E-07   0.102317E-08
  2223   0.118691E+03  -0.306729E+01   0.289191E-06  -0.306729E+01   0.672079E+01   0.426696E-07   0.289191E-06   0.426696E-07   0.102202E-08
  2224   0.118240E+03  -0.316970E+01   0.287094E-06  -0.316970E+01   0.673090E+01   0.427366E-07   0.287094E-06   0.427366E-07   0.102088E-08
  2225   0.117797E+03  -0.327269E+01   0.284924E-06  -0.327269E+01   0.674032E+01   0.428031E-07   0.284924E-06   0.428031E-07   0.101973E-08
  2226   0.117370E+03  -0.337631E+01   0.282684E-06  -0.337631E+01   0.674898E+01   0.428690E-07   0.282684E-06   0.428690E-07   0.101859E-08
  2227   0.116950E+03  -0.348057E+01   0.280375E-06  -0.348057E+01   0.675702E+01   0.429344E-07   0.280375E-06   0.429344E-07   0.101744E-08
  2228   0.116538E+03  -0.358539E+01   0.278001E-06  -0.358539E+01   0.676429E+01   0.429991E-07   0.278001E-06   0.429991E-07   0.101630E-08
  2229   0.116142E+03  -0.369047E+01   0.275564E-06  -0.369047E+01   0.677095E+01   0.430631E-07   0.275564E-06   0.430631E-07   0.101516E-08
  2230   0.115745E+03  -0.379619E+01   0.273067E-06  -0.379619E+01   0.677692E+01   0.431263E-07   0.273067E-06   0.431263E-07   0.101402E-08
  2231   0.115364E+03  -0.390216E+01   0.270512E-06  -0.390216E+01   0.678219E+01   0.431886E-07   0.270512E-06   0.431886E-07   0.101289E-08
  2232   0.114983E+03  -0.400854E+01   0.267902E-06  -0.400854E+01   0.678677E+01   0.432501E-07   0.267902E-06   0.432501E-07   0.101175E-08
  2233   0.114617E+03  -0.411510E+01   0.265239E-06  -0.411510E+01   0.679066E+01   0.433106E-07   0.265239E-06   0.433106E-07   0.101062E-08
  2234   0.114266E+03  -0.422191E+01   0.262527E-06  -0.422191E+01   0.679386E+01   0.433701E-07   0.262527E-06   0.433701E-07   0.100948E-08
  2235   0.113924E+03  -0.432897E+01   0.259767E-06  -0.432897E+01   0.679644E+01   0.434285E-07   0.259767E-06   0.434285E-07   0.100835E-08
  2236   0.113589E+03  -0.443606E+01   0.256962E-06  -0.443606E+01   0.679825E+01   0.434857E-07   0.256962E-06   0.434857E-07   0.100722E-08
  2237   0.113254E+03  -0.454332E+01   0.254116E-06  -0.454332E+01   0.679929E+01   0.435418E-07   0.254116E-06   0.435418E-07   0.100610E-08
  2238   0.112927E+03  -0.465083E+01   0.251230E-06  -0.465083E+01   0.679972E+01   0.435966E-07   0.251230E-06   0.435966E-07   0.100497E-08
  2239   0.112615E+03  -0.475806E+01   0.248307E-06  -0.475806E+01   0.679945E+01   0.436502E-07   0.248307E-06   0.436502E-07   0.100384E-08
  2240   0.112296E+03  -0.486516E+01   0.245350E-06  -0.486516E+01   0.679848E+01   0.437023E-07   0.245350E-06   0.437023E-07   0.100272E-08
  2241   0.111993E+03  -0.497227E+01   0.242362E-06  -0.497227E+01   0.679675E+01   0.437530E-07   0.242362E-06   0.437530E-07   0.100160E-08
  2242   0.111712E+03  -0.507925E+01   0.239344E-06  -0.507925E+01   0.679432E+01   0.438022E-07   0.239344E-06   0.438022E-07   0.100048E-08
  2243   0.111453E+03  -0.518580E+01   0.236300E-06  -0.518580E+01   0.679120E+01   0.438499E-07   0.236300E-06   0.438499E-07   0.999358E-09
  2244   0.111180E+03  -0.529228E+01   0.233232E-06  -0.529228E+01   0.678738E+01   0.438960E-07   0.233232E-06   0.438960E-07   0.998240E-09
  2245   0.110915E+03  -0.539848E+01   0.230142E-06  -0.539848E+01   0.678279E+01   0.439404E-07   0.230142E-06   0.439404E-07   0.997124E-09
  2246   0.110658E+03  -0.550439E+01   0.227035E-06  -0.550439E+01   0.677758E+01   0.439831E-07   0.227035E-06   0.439831E-07   0.996009E-09
  2247   0.110416E+03  -0.560993E+01   0.223911E-06  -0.560993E+01   0.677168E+01   0.440240E-07   0.223911E-06   0.440240E-07   0.994896E-09
  2248   0.110174E+03  -0.571502E+01   0.220773E-06  -0.571502E+01   0.676500E+01   0.440630E-07   0.220773E-06   0.440630E-07   0.993784E-09
  2249   0.109940E+03  -0.581953E+01   0.217625E-06  -0.581953E+01   0.675771E+01   0.441002E-07   0.217625E-06   0.441002E-07   0.992673E-09
  2250   0.109721E+03  -0.592373E+01   0.214469E-06  -0.592373E+01   0.674964E+01   0.441354E-07   0.214469E-06   0.441354E-07   0.991564E-09
  2251   0.109503E+03  -0.602719E+01   0.211307E-06  -0.602719E+01   0.674095E+01   0.441685E-07   0.211307E-06   0.441685E-07   0.990456E-09
  2252   0.109292E+03  -0.613020E+01   0.208143E-06  -0.613020E+01   0.673149E+01   0.441994E-07   0.208143E-06   0.441994E-07   0.989350E-09
  2253   0.109097E+03  -0.623254E+01   0.204982E-06  -0.623254E+01   0.672140E+01   0.442278E-07   0.204982E-06   0.442278E-07   0.988245E-09
  2254   0.108909E+03  -0.633420E+01   0.201826E-06  -0.633420E+01   0.671062E+01   0.442535E-07   0.201826E-06   0.442535E-07   0.987142E-09
  2255   0.108722E+03  -0.643511E+01   0.198680E-06  -0.643511E+01   0.669922E+01   0.442763E-07   0.198680E-06   0.442763E-07   0.986040E-09
  2256   0.108550E+03  -0.653534E+01   0.195547E-06  -0.653534E+01   0.668705E+01   0.442959E-07   0.195547E-06   0.442959E-07   0.984940E-09
  2257   0.108378E+03  -0.663475E+01   0.192432E-06  -0.663475E+01   0.667426E+01   0.443121E-07   0.192432E-06   0.443121E-07   0.983841E-09
  2258   0.108214E+03  -0.673324E+01   0.189338E-06  -0.673324E+01   0.666077E+01   0.443247E-07   0.189338E-06   0.443247E-07   0.982743E-09
  2259   0.108065E+03  -0.683113E+01   0.186269E-06  -0.683113E+01   0.664658E+01   0.443334E-07   0.186269E-06   0.443334E-07   0.981647E-09
  2260   0.107917E+03  -0.692797E+01   0.183229E-06  -0.692797E+01   0.663178E+01   0.443381E-07   0.183229E-06   0.443381E-07   0.980552E-09
  2261   0.107776E+03  -0.702374E+01   0.180222E-06  -0.702374E+01   0.661628E+01   0.443384E-07   0.180222E-06   0.443384E-07   0.979459E-09
  2262   0.107643E+03  -0.711853E+01   0.177251E-06  -0.711853E+01   0.660024E+01   0.443343E-07   0.177251E-06   0.443343E-07   0.978367E-09
  2263   0.107518E+03  -0.721241E+01   0.174320E-06  -0.721241E+01   0.658350E+01   0.443253E-07   0.174320E-06   0.443253E-07   0.977277E-09
  2264   0.107393E+03  -0.730493E+01   0.171433E-06  -0.730493E+01   0.656607E+01   0.443114E-07   0.171433E-06   0.443114E-07   0.976188E-09
  2265   0.107269E+03  -0.739646E+01   0.168595E-06  -0.739646E+01   0.654810E+01   0.442922E-07   0.168595E-06   0.442922E-07   0.975100E-09
  2266   0.107159E+03  -0.748692E+01   0.165808E-06  -0.748692E+01   0.652950E+01   0.442676E-07   0.165808E-06   0.442676E-07   0.974014E-09
  2267   0.107065E+03  -0.757588E+01   0.163077E-06  -0.757588E+01   0.651029E+01   0.442373E-07   0.163077E-06   0.442373E-07   0.972929E-09
  2268   0.106971E+03  -0.766421E+01   0.160405E-06  -0.766421E+01   0.649039E+01   0.442011E-07   0.160405E-06   0.442011E-07   0.971846E-09
  2269   0.106878E+03  -0.775162E+01   0.157797E-06  -0.775162E+01   0.646994E+01   0.441588E-07   0.157797E-06   0.441588E-07   0.970764E-09
  2270   0.106792E+03  -0.783751E+01   0.155255E-06  -0.783751E+01   0.644894E+01   0.441101E-07   0.155255E-06   0.441101E-07   0.969683E-09
  2271   0.106721E+03  -0.792188E+01   0.152785E-06  -0.792188E+01   0.642733E+01   0.440548E-07   0.152785E-06   0.440548E-07   0.968604E-09
  2272   0.106650E+03  -0.800474E+01   0.150389E-06  -0.800474E+01   0.640518E+01   0.439926E-07   0.150389E-06   0.439926E-07   0.967526E-09
  2273   0.106580E+03  -0.808607E+01   0.148072E-06  -0.808607E+01   0.638226E+01   0.439235E-07   0.148072E-06   0.439235E-07   0.966450E-09
  2274   0.106525E+03  -0.816662E+01   0.145838E-06  -0.816662E+01   0.635888E+01   0.438470E-07   0.145838E-06   0.438470E-07   0.965375E-09
  2275   0.106463E+03  -0.824565E+01   0.143690E-06  -0.824565E+01   0.633502E+01   0.437630E-07   0.143690E-06   0.437630E-07   0.964301E-09
  2276   0.106423E+03  -0.832241E+01   0.141631E-06  -0.832241E+01   0.631055E+01   0.436713E-07   0.141631E-06   0.436713E-07   0.963229E-09
  2277   0.106384E+03  -0.839839E+01   0.139667E-06  -0.839839E+01   0.628554E+01   0.435717E-07   0.139667E-06   0.435717E-07   0.962158E-09
  2278   0.106337E+03  -0.847358E+01   0.137800E-06  -0.847358E+01   0.626006E+01   0.434638E-07   0.137800E-06   0.434638E-07   0.961089E-09
  2279   0.106306E+03  -0.854650E+01   0.136035E-06  -0.854650E+01   0.623396E+01   0.433475E-07   0.136035E-06   0.433475E-07   0.960021E-09
  2280   0.106275E+03  -0.861863E+01   0.134376E-06  -0.861863E+01   0.620747E+01   0.432226E-07   0.134376E-06   0.432226E-07   0.958954E-09
  2281   0.106251E+03  -0.868848E+01   0.132825E-06  -0.868848E+01   0.618030E+01   0.430888E-07   0.132825E-06   0.430888E-07   0.957889E-09
  2282   0.106228E+03  -0.875680E+01   0.131388E-06  -0.875680E+01   0.615280E+01   0.429459E-07   0.131388E-06   0.429459E-07   0.956825E-09
  2283   0.106205E+03  -0.882358E+01   0.130067E-06  -0.882358E+01   0.612469E+01   0.427936E-07   0.130067E-06   0.427936E-07   0.955763E-09
  2284   0.106197E+03  -0.888808E+01   0.128867E-06  -0.888808E+01   0.609627E+01   0.426318E-07   0.128867E-06   0.426318E-07   0.954701E-09
  2285   0.106189E+03  -0.895178E+01   0.127792E-06  -0.895178E+01   0.606730E+01   0.424601E-07   0.127792E-06   0.424601E-07   0.953642E-09
  2286   0.106167E+03  -0.901395E+01   0.126845E-06  -0.901395E+01   0.603779E+01   0.422785E-07   0.126845E-06   0.422785E-07   0.952583E-09
  2287   0.106153E+03  -0.907383E+01   0.126031E-06  -0.907383E+01   0.600797E+01   0.420866E-07   0.126031E-06   0.420866E-07   0.951526E-09
  2288   0.106168E+03  -0.913216E+01   0.125352E-06  -0.913216E+01   0.597761E+01   0.418842E-07   0.125352E-06   0.418842E-07   0.950471E-09
  2289   0.106169E+03  -0.918895E+01   0.124813E-06  -0.918895E+01   0.594694E+01   0.416711E-07   0.124813E-06   0.416711E-07   0.949416E-09
  2290   0.106177E+03  -0.924345E+01   0.124418E-06  -0.924345E+01   0.591572E+01   0.414471E-07   0.124418E-06   0.414471E-07   0.948363E-09
  2291   0.106200E+03  -0.929714E+01   0.124170E-06  -0.929714E+01   0.588412E+01   0.412119E-07   0.124170E-06   0.412119E-07   0.947312E-09
  2292   0.106239E+03  -0.934855E+01   0.124074E-06  -0.934855E+01   0.585220E+01   0.409653E-07   0.124074E-06   0.409653E-07   0.946261E-09
  2293   0.106255E+03  -0.939840E+01   0.124132E-06  -0.939840E+01   0.581981E+01   0.407070E-07   0.124132E-06   0.407070E-07   0.945213E-09
  2294   0.106279E+03  -0.944595E+01   0.124350E-06  -0.944595E+01   0.578712E+01   0.404370E-07   0.124350E-06   0.404370E-07   0.944165E-09
  2295   0.106311E+03  -0.949195E+01   0.124731E-06  -0.949195E+01   0.575388E+01   0.401548E-07   0.124731E-06   0.401548E-07   0.943119E-09
  2296   0.106328E+03  -0.953566E+01   0.125278E-06  -0.953566E+01   0.572056E+01   0.398603E-07   0.125278E-06   0.398603E-07   0.942074E-09
  2297   0.106367E+03  -0.957855E+01   0.125996E-06  -0.957855E+01   0.568677E+01   0.395533E-07   0.125996E-06   0.395533E-07   0.941031E-09
  2298   0.106407E+03  -0.961913E+01   0.126888E-06  -0.961913E+01   0.565274E+01   0.392335E-07   0.126888E-06   0.392335E-07   0.939988E-09
  2299   0.106439E+03  -0.965742E+01   0.127958E-06  -0.965742E+01   0.561833E+01   0.389008E-07   0.127958E-06   0.389008E-07   0.938948E-09
  2300   0.106487E+03  -0.969414E+01   0.129210E-06  -0.969414E+01   0.558352E+01   0.385548E-07   0.129210E-06   0.385548E-07   0.937908E-09
  2301   0.106512E+03  -0.972930E+01   0.130645E-06  -0.972930E+01   0.554848E+01   0.381954E-07   0.130645E-06   0.381954E-07   0.936870E-09
  2302   0.106553E+03  -0.976289E+01   0.132258E-06  -0.976289E+01   0.551328E+01   0.378232E-07   0.132258E-06   0.378232E-07   0.935833E-09
  2303   0.106608E+03  -0.979344E+01   0.134039E-06  -0.979344E+01   0.547761E+01   0.374385E-07   0.134039E-06   0.374385E-07   0.934798E-09
  2304   0.106649E+03  -0.982242E+01   0.135978E-06  -0.982242E+01   0.544179E+01   0.370419E-07   0.135978E-06   0.370419E-07   0.933764E-09
  2305   0.106697E+03  -0.984985E+01   0.138069E-06  -0.984985E+01   0.540572E+01   0.366339E-07   0.138069E-06   0.366339E-07   0.932731E-09
  2306   0.106746E+03  -0.987496E+01   0.140300E-06  -0.987496E+01   0.536935E+01   0.362150E-07   0.140300E-06   0.362150E-07   0.931699E-09
  2307   0.106772E+03  -0.989926E+01   0.142664E-06  -0.989926E+01   0.533281E+01   0.357858E-07   0.142664E-06   0.357858E-07   0.930669E-09
  2308   0.106828E+03  -0.992051E+01   0.145152E-06  -0.992051E+01   0.529604E+01   0.353467E-07   0.145152E-06   0.353467E-07   0.929640E-09
  2309   0.106899E+03  -0.994020E+01   0.147754E-06  -0.994020E+01   0.525903E+01   0.348983E-07   0.147754E-06   0.348983E-07   0.928613E-09
  2310   0.106956E+03  -0.995758E+01   0.150463E-06  -0.995758E+01   0.522194E+01   0.344410E-07   0.150463E-06   0.344410E-07   0.927586E-09
  2311   0.107005E+03  -0.997340E+01   0.153269E-06  -0.997340E+01   0.518447E+01   0.339755E-07   0.153269E-06   0.339755E-07   0.926562E-09
  2312   0.107061E+03  -0.998766E+01   0.156162E-06  -0.998766E+01   0.514699E+01   0.335022E-07   0.156162E-06   0.335022E-07   0.925538E-09
  2313   0.107111E+03  -0.999961E+01   0.159135E-06  -0.999961E+01   0.510934E+01   0.330216E-07   0.159135E-06   0.330216E-07   0.924516E-09
  2314   0.107168E+03  -0.100093E+02   0.162179E-06  -0.100093E+02   0.507154E+01   0.325342E-07   0.162179E-06   0.325342E-07   0.923495E-09
  2315   0.107225E+03  -0.100174E+02   0.165284E-06  -0.100174E+02   0.503358E+01   0.320407E-07   0.165284E-06   0.320407E-07   0.922475E-09
  2316   0.107274E+03  -0.100239E+02   0.168442E-06  -0.100239E+02   0.499554E+01   0.315413E-07   0.168442E-06   0.315413E-07   0.921457E-09
  2317   0.107332E+03  -0.100281E+02   0.171643E-06  -0.100281E+02   0.495742E+01   0.310368E-07   0.171643E-06   0.310368E-07   0.920440E-09
  2318   0.107389E+03  -0.100315E+02   0.174880E-06  -0.100315E+02   0.491914E+01   0.305276E-07   0.174880E-06   0.305276E-07   0.919424E-09
  2319   0.107439E+03  -0.100326E+02   0.178143E-06  -0.100326E+02   0.488078E+01   0.300142E-07   0.178143E-06   0.300142E-07   0.918409E-09
  2320   0.107496E+03  -0.100314E+02   0.181423E-06  -0.100314E+02   0.484241E+01   0.294971E-07   0.181423E-06   0.294971E-07   0.917396E-09
  2321   0.107561E+03  -0.100279E+02   0.184711E-06  -0.100279E+02   0.480389E+01   0.289769E-07   0.184711E-06   0.289769E-07   0.916384E-09
  2322   0.107611E+03  -0.100228E+02   0.187999E-06  -0.100228E+02   0.476544E+01   0.284541E-07   0.187999E-06   0.284541E-07   0.915374E-09
  2323   0.107654E+03  -0.100162E+02   0.191277E-06  -0.100162E+02   0.472683E+01   0.279291E-07   0.191277E-06   0.279291E-07   0.914365E-09
  2324   0.107711E+03  -0.100080E+02   0.194537E-06  -0.100080E+02   0.468837E+01   0.274026E-07   0.194537E-06   0.274026E-07   0.913357E-09
  2325   0.107761E+03  -0.999755E+01   0.197770E-06  -0.999755E+01   0.464975E+01   0.268749E-07   0.197770E-06   0.268749E-07   0.912350E-09
  2326   0.107812E+03  -0.998625E+01   0.200967E-06  -0.998625E+01   0.461121E+01   0.263467E-07   0.200967E-06   0.263467E-07   0.911344E-09
  2327   0.107862E+03  -0.997190E+01   0.204119E-06  -0.997190E+01   0.457251E+01   0.258184E-07   0.204119E-06   0.258184E-07   0.910340E-09
  2328   0.107927E+03  -0.995599E+01   0.207218E-06  -0.995599E+01   0.453403E+01   0.252906E-07   0.207218E-06   0.252906E-07   0.909338E-09
  2329   0.107977E+03  -0.993852E+01   0.210254E-06  -0.993852E+01   0.449548E+01   0.247637E-07   0.210254E-06   0.247637E-07   0.908336E-09
  2330   0.108020E+03  -0.991949E+01   0.213218E-06  -0.991949E+01   0.445700E+01   0.242384E-07   0.213218E-06   0.242384E-07   0.907336E-09
  2331   0.108056E+03  -0.989817E+01   0.216102E-06  -0.989817E+01   0.441867E+01   0.237150E-07   0.216102E-06   0.237150E-07   0.906337E-09
  2332   0.108098E+03  -0.987602E+01   0.218896E-06  -0.987602E+01   0.438033E+01   0.231942E-07   0.218896E-06   0.231942E-07   0.905339E-09
  2333   0.108141E+03  -0.985158E+01   0.221593E-06  -0.985158E+01   0.434207E+01   0.226763E-07   0.221593E-06   0.226763E-07   0.904342E-09
  2334   0.108162E+03  -0.982557E+01   0.224183E-06  -0.982557E+01   0.430373E+01   0.221621E-07   0.224183E-06   0.221621E-07   0.903347E-09
  2335   0.108197E+03  -0.979801E+01   0.226656E-06  -0.979801E+01   0.426570E+01   0.216519E-07   0.226656E-06   0.216519E-07   0.902353E-09
  2336   0.108233E+03  -0.976889E+01   0.229005E-06  -0.976889E+01   0.422766E+01   0.211463E-07   0.229005E-06   0.211463E-07   0.901361E-09
  2337   0.108261E+03  -0.973672E+01   0.231221E-06  -0.973672E+01   0.418985E+01   0.206458E-07   0.231221E-06   0.206458E-07   0.900369E-09
  2338   0.108288E+03  -0.970449E+01   0.233294E-06  -0.970449E+01   0.415219E+01   0.201509E-07   0.233294E-06   0.201509E-07   0.899379E-09
  2339   0.108309E+03  -0.966995E+01   0.235215E-06  -0.966995E+01   0.411453E+01   0.196621E-07   0.235215E-06   0.196621E-07   0.898390E-09
  2340   0.108329E+03  -0.963237E+01   0.236977E-06  -0.963237E+01   0.407709E+01   0.191799E-07   0.236977E-06   0.191799E-07   0.897402E-09
  2341   0.108364E+03  -0.959694E+01   0.238569E-06  -0.959694E+01   0.403989E+01   0.187050E-07   0.238569E-06   0.187050E-07   0.896416E-09
  2342   0.108377E+03  -0.955773E+01   0.239984E-06  -0.955773E+01   0.400276E+01   0.182377E-07   0.239984E-06   0.182377E-07   0.895431E-09
  2343   0.108390E+03  -0.951696E+01   0.241211E-06  -0.951696E+01   0.396586E+01   0.177785E-07   0.241211E-06   0.177785E-07   0.894447E-09
  2344   0.108402E+03  -0.947464E+01   0.242243E-06  -0.947464E+01   0.392911E+01   0.173281E-07   0.242243E-06   0.173281E-07   0.893464E-09
  2345   0.108415E+03  -0.943150E+01   0.243071E-06  -0.943150E+01   0.389266E+01   0.168869E-07   0.243071E-06   0.168869E-07   0.892483E-09
  2346   0.108427E+03  -0.938680E+01   0.243685E-06  -0.938680E+01   0.385645E+01   0.164554E-07   0.243685E-06   0.164554E-07   0.891503E-09
  2347   0.108440E+03  -0.933981E+01   0.244076E-06  -0.933981E+01   0.382038E+01   0.160342E-07   0.244076E-06   0.160342E-07   0.890524E-09
  2348   0.108437E+03  -0.929274E+01   0.244237E-06  -0.929274E+01   0.378463E+01   0.156238E-07   0.244237E-06   0.156238E-07   0.889546E-09
  2349   0.108449E+03  -0.924337E+01   0.244157E-06  -0.924337E+01   0.374902E+01   0.152246E-07   0.244157E-06   0.152246E-07   0.888570E-09
  2350   0.108432E+03  -0.919319E+01   0.243829E-06  -0.919319E+01   0.371372E+01   0.148372E-07   0.243829E-06   0.148372E-07   0.887595E-09
  2351   0.108414E+03  -0.914072E+01   0.243245E-06  -0.914072E+01   0.367866E+01   0.144620E-07   0.243245E-06   0.144620E-07   0.886621E-09
  2352   0.108404E+03  -0.908668E+01   0.242415E-06  -0.908668E+01   0.364390E+01   0.140987E-07   0.242415E-06   0.140987E-07   0.885648E-09
  2353   0.108386E+03  -0.903258E+01   0.241346E-06  -0.903258E+01   0.360937E+01   0.137469E-07   0.241346E-06   0.137469E-07   0.884676E-09
  2354   0.108375E+03  -0.897693E+01   0.240050E-06  -0.897693E+01   0.357522E+01   0.134063E-07   0.240050E-06   0.134063E-07   0.883706E-09
  2355   0.108349E+03  -0.892047E+01   0.238537E-06  -0.892047E+01   0.354130E+01   0.130766E-07   0.238537E-06   0.130766E-07   0.882737E-09
  2356   0.108323E+03  -0.886171E+01   0.236816E-06  -0.886171E+01   0.350776E+01   0.127572E-07   0.236816E-06   0.127572E-07   0.881769E-09
  2357   0.108290E+03  -0.880215E+01   0.234897E-06  -0.880215E+01   0.347446E+01   0.124479E-07   0.234897E-06   0.124479E-07   0.880803E-09
  2358   0.108257E+03  -0.874253E+01   0.232792E-06  -0.874253E+01   0.344139E+01   0.121482E-07   0.232792E-06   0.121482E-07   0.879837E-09
  2359   0.108215E+03  -0.868062E+01   0.230509E-06  -0.868062E+01   0.340870E+01   0.118578E-07   0.230509E-06   0.118578E-07   0.878873E-09
  2360   0.108174E+03  -0.861790E+01   0.228059E-06  -0.861790E+01   0.337646E+01   0.115763E-07   0.228059E-06   0.115763E-07   0.877910E-09
  2361   0.108133E+03  -0.855439E+01   0.225452E-06  -0.855439E+01   0.334454E+01   0.113033E-07   0.225452E-06   0.113033E-07   0.876948E-09
  2362   0.108084E+03  -0.848933E+01   0.222697E-06  -0.848933E+01   0.331292E+01   0.110384E-07   0.222697E-06   0.110384E-07   0.875988E-09
  2363   0.108028E+03  -0.842347E+01   0.219806E-06  -0.842347E+01   0.328169E+01   0.107813E-07   0.219806E-06   0.107813E-07   0.875028E-09
  2364   0.107971E+03  -0.835682E+01   0.216788E-06  -0.835682E+01   0.325076E+01   0.105316E-07   0.216788E-06   0.105316E-07   0.874070E-09
  2365   0.107914E+03  -0.828937E+01   0.213654E-06  -0.828937E+01   0.322036E+01   0.102889E-07   0.213654E-06   0.102889E-07   0.873114E-09
  2366   0.107842E+03  -0.822038E+01   0.210412E-06  -0.822038E+01   0.319020E+01   0.100528E-07   0.210412E-06   0.100528E-07   0.872158E-09
  2367   0.107778E+03  -0.815060E+01   0.207074E-06  -0.815060E+01   0.316043E+01   0.982299E-08   0.207074E-06   0.982299E-08   0.871203E-09
  2368   0.107706E+03  -0.808003E+01   0.203649E-06  -0.808003E+01   0.313103E+01   0.959901E-08   0.203649E-06   0.959901E-08   0.870250E-09
  2369   0.107626E+03  -0.800940E+01   0.200148E-06  -0.800940E+01   0.310217E+01   0.938052E-08   0.200148E-06   0.938052E-08   0.869298E-09
  2370   0.107539E+03  -0.793799E+01   0.196580E-06  -0.793799E+01   0.307355E+01   0.916713E-08   0.196580E-06   0.916713E-08   0.868347E-09
  2371   0.107459E+03  -0.786431E+01   0.192956E-06  -0.786431E+01   0.304546E+01   0.895847E-08   0.192956E-06   0.895847E-08   0.867397E-09
  2372   0.107371E+03  -0.779057E+01   0.189286E-06  -0.779057E+01   0.301768E+01   0.875416E-08   0.189286E-06   0.875416E-08   0.866449E-09
  2373   0.107269E+03  -0.771680E+01   0.185579E-06  -0.771680E+01   0.299043E+01   0.855381E-08   0.185579E-06   0.855381E-08   0.865502E-09
  2374   0.107173E+03  -0.764105E+01   0.181847E-06  -0.764105E+01   0.296357E+01   0.835706E-08   0.181847E-06   0.835706E-08   0.864555E-09
  2375   0.107063E+03  -0.756563E+01   0.178098E-06  -0.756563E+01   0.293717E+01   0.816351E-08   0.178098E-06   0.816351E-08   0.863611E-09
