#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   106   0.288698E+04  -0.271002E+02   0.352982E-03  -0.271002E+02   0.855432E+00  -0.808792E-06   0.352982E-03  -0.808792E-06   0.981852E-07
   107   0.291927E+04  -0.277546E+02   0.349034E-03  -0.277546E+02   0.868920E+00  -0.791145E-06   0.349034E-03  -0.791145E-06   0.975664E-07
   108   0.295193E+04  -0.284070E+02   0.345151E-03  -0.284070E+02   0.882185E+00  -0.775760E-06   0.345151E-03  -0.775760E-06   0.969516E-07
   109   0.298475E+04  -0.290559E+02   0.341326E-03  -0.290559E+02   0.895151E+00  -0.763096E-06   0.341326E-03  -0.763096E-06   0.963410E-07
   110   0.301766E+04  -0.296999E+02   0.337557E-03  -0.296999E+02   0.907819E+00  -0.753612E-06   0.337557E-03  -0.753612E-06   0.957344E-07
   111   0.305073E+04  -0.303405E+02   0.333838E-03  -0.303405E+02   0.920262E+00  -0.747650E-06   0.333838E-03  -0.747650E-06   0.951321E-07
   112   0.308395E+04  -0.309769E+02   0.330169E-03  -0.309769E+02   0.932407E+00  -0.745072E-06   0.330169E-03  -0.745072E-06   0.945340E-07
   113   0.311741E+04  -0.316076E+02   0.326550E-03  -0.316076E+02   0.944252E+00  -0.745621E-06   0.326550E-03  -0.745621E-06   0.939401E-07
   114   0.315095E+04  -0.322318E+02   0.322981E-03  -0.322318E+02   0.955723E+00  -0.749040E-06   0.322981E-03  -0.749040E-06   0.933504E-07
   115   0.318471E+04  -0.328494E+02   0.319462E-03  -0.328494E+02   0.966969E+00  -0.755072E-06   0.319462E-03  -0.755072E-06   0.927650E-07
   116   0.321849E+04  -0.334597E+02   0.315993E-03  -0.334597E+02   0.977767E+00  -0.763461E-06   0.315993E-03  -0.763461E-06   0.921837E-07
   117   0.325256E+04  -0.340618E+02   0.312573E-03  -0.340618E+02   0.988189E+00  -0.773950E-06   0.312573E-03  -0.773950E-06   0.916066E-07
   118   0.328679E+04  -0.346564E+02   0.309202E-03  -0.346564E+02   0.998385E+00  -0.786281E-06   0.309202E-03  -0.786281E-06   0.910338E-07
   119   0.332101E+04  -0.352413E+02   0.305881E-03  -0.352413E+02   0.100821E+01  -0.800199E-06   0.305881E-03  -0.800199E-06   0.904651E-07
   120   0.335539E+04  -0.358164E+02   0.302609E-03  -0.358164E+02   0.101750E+01  -0.815446E-06   0.302609E-03  -0.815446E-06   0.899006E-07
   121   0.338977E+04  -0.363817E+02   0.299387E-03  -0.363817E+02   0.102657E+01  -0.831766E-06   0.299387E-03  -0.831766E-06   0.893403E-07
   122   0.342422E+04  -0.369363E+02   0.296213E-03  -0.369363E+02   0.103512E+01  -0.848901E-06   0.296213E-03  -0.848901E-06   0.887842E-07
   123   0.345874E+04  -0.374803E+02   0.293089E-03  -0.374803E+02   0.104321E+01  -0.866596E-06   0.293089E-03  -0.866596E-06   0.882323E-07
   124   0.349334E+04  -0.380105E+02   0.290013E-03  -0.380105E+02   0.105092E+01  -0.884592E-06   0.290013E-03  -0.884592E-06   0.876846E-07
   125   0.352793E+04  -0.385292E+02   0.286986E-03  -0.385292E+02   0.105819E+01  -0.902634E-06   0.286986E-03  -0.902634E-06   0.871411E-07
   126   0.356259E+04  -0.390356E+02   0.284008E-03  -0.390356E+02   0.106508E+01  -0.920464E-06   0.284008E-03  -0.920464E-06   0.866017E-07
   127   0.359724E+04  -0.395289E+02   0.281079E-03  -0.395289E+02   0.107144E+01  -0.937826E-06   0.281079E-03  -0.937826E-06   0.860665E-07
   128   0.363188E+04  -0.400083E+02   0.278198E-03  -0.400083E+02   0.107742E+01  -0.954464E-06   0.278198E-03  -0.954464E-06   0.855355E-07
   129   0.366659E+04  -0.404730E+02   0.275366E-03  -0.404730E+02   0.108287E+01  -0.970119E-06   0.275366E-03  -0.970119E-06   0.850087E-07
   130   0.370129E+04  -0.409222E+02   0.272581E-03  -0.409222E+02   0.108780E+01  -0.984535E-06   0.272581E-03  -0.984535E-06   0.844861E-07
   131   0.373598E+04  -0.413573E+02   0.269845E-03  -0.413573E+02   0.109235E+01  -0.997507E-06   0.269845E-03  -0.997507E-06   0.839676E-07
   132   0.377073E+04  -0.417754E+02   0.267156E-03  -0.417754E+02   0.109637E+01  -0.100903E-05   0.267156E-03  -0.100903E-05   0.834533E-07
   133   0.380540E+04  -0.421788E+02   0.264513E-03  -0.421788E+02   0.109994E+01  -0.101915E-05   0.264513E-03  -0.101915E-05   0.829430E-07
   134   0.384006E+04  -0.425630E+02   0.261914E-03  -0.425630E+02   0.110305E+01  -0.102792E-05   0.261914E-03  -0.102792E-05   0.824369E-07
   135   0.387471E+04  -0.429311E+02   0.259358E-03  -0.429311E+02   0.110564E+01  -0.103538E-05   0.259358E-03  -0.103538E-05   0.819348E-07
   136   0.390920E+04  -0.432792E+02   0.256844E-03  -0.432792E+02   0.110770E+01  -0.104158E-05   0.256844E-03  -0.104158E-05   0.814368E-07
   137   0.394369E+04  -0.436098E+02   0.254371E-03  -0.436098E+02   0.110930E+01  -0.104656E-05   0.254371E-03  -0.104656E-05   0.809428E-07
   138   0.397810E+04  -0.439212E+02   0.251938E-03  -0.439212E+02   0.111038E+01  -0.105038E-05   0.251938E-03  -0.105038E-05   0.804527E-07
   139   0.401229E+04  -0.442129E+02   0.249542E-03  -0.442129E+02   0.111108E+01  -0.105307E-05   0.249542E-03  -0.105307E-05   0.799666E-07
   140   0.404654E+04  -0.444855E+02   0.247183E-03  -0.444855E+02   0.111118E+01  -0.105470E-05   0.247183E-03  -0.105470E-05   0.794845E-07
   141   0.408057E+04  -0.447369E+02   0.244860E-03  -0.447369E+02   0.111075E+01  -0.105530E-05   0.244860E-03  -0.105530E-05   0.790062E-07
   142   0.411460E+04  -0.449678E+02   0.242571E-03  -0.449678E+02   0.110987E+01  -0.105492E-05   0.242571E-03  -0.105492E-05   0.785318E-07
   143   0.414855E+04  -0.451783E+02   0.240315E-03  -0.451783E+02   0.110854E+01  -0.105360E-05   0.240315E-03  -0.105360E-05   0.780613E-07
   144   0.418228E+04  -0.453677E+02   0.238091E-03  -0.453677E+02   0.110668E+01  -0.105140E-05   0.238091E-03  -0.105140E-05   0.775946E-07
   145   0.421586E+04  -0.455352E+02   0.235898E-03  -0.455352E+02   0.110444E+01  -0.104837E-05   0.235898E-03  -0.104837E-05   0.771316E-07
   146   0.424951E+04  -0.456808E+02   0.233734E-03  -0.456808E+02   0.110161E+01  -0.104454E-05   0.233734E-03  -0.104454E-05   0.766725E-07
   147   0.428280E+04  -0.458031E+02   0.231597E-03  -0.458031E+02   0.109839E+01  -0.103996E-05   0.231597E-03  -0.103996E-05   0.762170E-07
   148   0.431594E+04  -0.459036E+02   0.229488E-03  -0.459036E+02   0.109465E+01  -0.103469E-05   0.229488E-03  -0.103469E-05   0.757653E-07
   149   0.434901E+04  -0.459809E+02   0.227404E-03  -0.459809E+02   0.109046E+01  -0.102877E-05   0.227404E-03  -0.102877E-05   0.753173E-07
   150   0.438179E+04  -0.460327E+02   0.225344E-03  -0.460327E+02   0.108589E+01  -0.102225E-05   0.225344E-03  -0.102225E-05   0.748729E-07
   151   0.441442E+04  -0.460621E+02   0.223307E-03  -0.460621E+02   0.108087E+01  -0.101516E-05   0.223307E-03  -0.101516E-05   0.744321E-07
   152   0.444677E+04  -0.460674E+02   0.221293E-03  -0.460674E+02   0.107532E+01  -0.100754E-05   0.221293E-03  -0.100754E-05   0.739950E-07
   153   0.447896E+04  -0.460466E+02   0.219302E-03  -0.460466E+02   0.106939E+01  -0.999401E-06   0.219302E-03  -0.999401E-06   0.735614E-07
   154   0.451094E+04  -0.460018E+02   0.217333E-03  -0.460018E+02   0.106309E+01  -0.990772E-06   0.217333E-03  -0.990772E-06   0.731314E-07
   155   0.454270E+04  -0.459322E+02   0.215386E-03  -0.459322E+02   0.105641E+01  -0.981671E-06   0.215386E-03  -0.981671E-06   0.727049E-07
   156   0.457408E+04  -0.458377E+02   0.213462E-03  -0.458377E+02   0.104936E+01  -0.972121E-06   0.213462E-03  -0.972121E-06   0.722820E-07
   157   0.460539E+04  -0.457170E+02   0.211559E-03  -0.457170E+02   0.104193E+01  -0.962141E-06   0.211559E-03  -0.962141E-06   0.718625E-07
   158   0.463640E+04  -0.455708E+02   0.209678E-03  -0.455708E+02   0.103420E+01  -0.951755E-06   0.209678E-03  -0.951755E-06   0.714465E-07
   159   0.466712E+04  -0.453989E+02   0.207819E-03  -0.453989E+02   0.102601E+01  -0.940982E-06   0.207819E-03  -0.940982E-06   0.710339E-07
   160   0.469760E+04  -0.451999E+02   0.205980E-03  -0.451999E+02   0.101753E+01  -0.929844E-06   0.205980E-03  -0.929844E-06   0.706248E-07
   161   0.472786E+04  -0.449753E+02   0.204163E-03  -0.449753E+02   0.100882E+01  -0.918363E-06   0.204163E-03  -0.918363E-06   0.702190E-07
   162   0.475781E+04  -0.447251E+02   0.202368E-03  -0.447251E+02   0.999732E+00  -0.906560E-06   0.202368E-03  -0.906560E-06   0.698166E-07
   163   0.478761E+04  -0.444477E+02   0.200592E-03  -0.444477E+02   0.990345E+00  -0.894457E-06   0.200592E-03  -0.894457E-06   0.694175E-07
   164   0.481695E+04  -0.441446E+02   0.198838E-03  -0.441446E+02   0.980731E+00  -0.882074E-06   0.198838E-03  -0.882074E-06   0.690218E-07
   165   0.484614E+04  -0.438135E+02   0.197104E-03  -0.438135E+02   0.970818E+00  -0.869433E-06   0.197104E-03  -0.869433E-06   0.686294E-07
   166   0.487502E+04  -0.434560E+02   0.195390E-03  -0.434560E+02   0.960752E+00  -0.856555E-06   0.195390E-03  -0.856555E-06   0.682402E-07
   167   0.490366E+04  -0.430727E+02   0.193697E-03  -0.430727E+02   0.950312E+00  -0.843463E-06   0.193697E-03  -0.843463E-06   0.678543E-07
   168   0.493185E+04  -0.426614E+02   0.192023E-03  -0.426614E+02   0.939869E+00  -0.830176E-06   0.192023E-03  -0.830176E-06   0.674716E-07
   169   0.495972E+04  -0.422221E+02   0.190370E-03  -0.422221E+02   0.929127E+00  -0.816717E-06   0.190370E-03  -0.816717E-06   0.670921E-07
   170   0.498729E+04  -0.417562E+02   0.188736E-03  -0.417562E+02   0.918308E+00  -0.803107E-06   0.188736E-03  -0.803107E-06   0.667158E-07
   171   0.501439E+04  -0.412615E+02   0.187121E-03  -0.412615E+02   0.907412E+00  -0.789367E-06   0.187121E-03  -0.789367E-06   0.663427E-07
   172   0.504111E+04  -0.407395E+02   0.185525E-03  -0.407395E+02   0.896366E+00  -0.775518E-06   0.185525E-03  -0.775518E-06   0.659727E-07
   173   0.506736E+04  -0.401901E+02   0.183949E-03  -0.401901E+02   0.885169E+00  -0.761582E-06   0.183949E-03  -0.761582E-06   0.656058E-07
   174   0.509329E+04  -0.396134E+02   0.182392E-03  -0.396134E+02   0.874119E+00  -0.747581E-06   0.182392E-03  -0.747581E-06   0.652419E-07
   175   0.511884E+04  -0.390085E+02   0.180853E-03  -0.390085E+02   0.862919E+00  -0.733535E-06   0.180853E-03  -0.733535E-06   0.648812E-07
   176   0.514384E+04  -0.383754E+02   0.179333E-03  -0.383754E+02   0.851792E+00  -0.719462E-06   0.179333E-03  -0.719462E-06   0.645234E-07
   177   0.516846E+04  -0.377157E+02   0.177831E-03  -0.377157E+02   0.840664E+00  -0.705366E-06   0.177831E-03  -0.705366E-06   0.641687E-07
