#    L    TT             EE             BB             TE          
   196   0.555183E+04   0.700526E+00   0.128760E-01  -0.199431E+02
   197   0.556666E+04   0.696118E+00   0.127645E-01  -0.187656E+02
   198   0.558095E+04   0.692451E+00   0.126622E-01  -0.175649E+02
   199   0.559471E+04   0.689563E+00   0.125689E-01  -0.163416E+02
   200   0.560793E+04   0.687486E+00   0.124843E-01  -0.150965E+02
   201   0.562055E+04   0.686278E+00   0.124081E-01  -0.138288E+02
   202   0.563263E+04   0.685949E+00   0.123402E-01  -0.125400E+02
   203   0.564410E+04   0.686557E+00   0.122801E-01  -0.112295E+02
   204   0.565488E+04   0.688125E+00   0.122278E-01  -0.990004E+01
   205   0.566514E+04   0.690698E+00   0.121829E-01  -0.854955E+01
   206   0.567470E+04   0.694312E+00   0.121451E-01  -0.717924E+01
   207   0.568374E+04   0.698991E+00   0.121142E-01  -0.578958E+01
   208   0.569201E+04   0.704786E+00   0.120900E-01  -0.438107E+01
   209   0.569968E+04   0.711719E+00   0.120722E-01  -0.295411E+01
   210   0.570673E+04   0.719843E+00   0.120605E-01  -0.150957E+01
   211   0.571317E+04   0.729187E+00   0.120547E-01  -0.475337E-01
   212   0.571886E+04   0.739782E+00   0.120545E-01   0.143108E+01
   213   0.572401E+04   0.751672E+00   0.120596E-01   0.292630E+01
   214   0.572848E+04   0.764850E+00   0.120699E-01   0.443692E+01
   215   0.573233E+04   0.779508E+00   0.120850E-01   0.596220E+01
   216   0.573550E+04   0.795462E+00   0.121046E-01   0.750266E+01
   217   0.573813E+04   0.812867E+00   0.121286E-01   0.905629E+01
   218   0.574008E+04   0.831723E+00   0.121566E-01   0.106233E+02
   219   0.574142E+04   0.852032E+00   0.121884E-01   0.122047E+02
   220   0.574214E+04   0.873940E+00   0.122238E-01   0.137959E+02
   221   0.574226E+04   0.897374E+00   0.122625E-01   0.153993E+02
   222   0.574176E+04   0.922483E+00   0.123041E-01   0.170133E+02
   223   0.574050E+04   0.949193E+00   0.123486E-01   0.186387E+02
   224   0.573878E+04   0.977503E+00   0.123955E-01   0.202717E+02
   225   0.573637E+04   0.100756E+01   0.124447E-01   0.219153E+02
   226   0.573336E+04   0.103937E+01   0.124959E-01   0.235659E+02
   227   0.572965E+04   0.107293E+01   0.125488E-01   0.252248E+02
   228   0.572541E+04   0.110824E+01   0.126032E-01   0.268907E+02
   229   0.572055E+04   0.114537E+01   0.126588E-01   0.285619E+02
   230   0.571501E+04   0.118432E+01   0.127154E-01   0.302393E+02
   231   0.570878E+04   0.122518E+01   0.127726E-01   0.319221E+02
   232   0.570202E+04   0.126786E+01   0.128303E-01   0.336088E+02
   233   0.569464E+04   0.131258E+01   0.128882E-01   0.352980E+02
   234   0.568650E+04   0.135921E+01   0.129460E-01   0.369903E+02
   235   0.567782E+04   0.140780E+01   0.130034E-01   0.386843E+02
   236   0.566845E+04   0.145837E+01   0.130602E-01   0.403799E+02
   237   0.565847E+04   0.151099E+01   0.131162E-01   0.420758E+02
   238   0.564788E+04   0.156573E+01   0.131711E-01   0.437719E+02
   239   0.563674E+04   0.162244E+01   0.132246E-01   0.454673E+02
   240   0.562485E+04   0.168120E+01   0.132765E-01   0.471600E+02
   241   0.561249E+04   0.174216E+01   0.133264E-01   0.488507E+02
   242   0.559951E+04   0.180517E+01   0.133743E-01   0.505385E+02
   243   0.558593E+04   0.187037E+01   0.134197E-01   0.522221E+02
   244   0.557172E+04   0.193769E+01   0.134624E-01   0.539021E+02
   245   0.555691E+04   0.200722E+01   0.135022E-01   0.555756E+02
   246   0.554155E+04   0.207893E+01   0.135389E-01   0.572441E+02
   247   0.552565E+04   0.215277E+01   0.135721E-01   0.589053E+02
   248   0.550914E+04   0.222911E+01   0.136015E-01   0.605593E+02
   249   0.549217E+04   0.230742E+01   0.136271E-01   0.622052E+02
   250   0.547457E+04   0.238815E+01   0.136484E-01   0.638416E+02
   251   0.545651E+04   0.247100E+01   0.136652E-01   0.654693E+02
   252   0.543777E+04   0.255620E+01   0.136777E-01   0.670867E+02
   253   0.541870E+04   0.264352E+01   0.136859E-01   0.686923E+02
   254   0.539903E+04   0.273326E+01   0.136898E-01   0.702861E+02
   255   0.537881E+04   0.282512E+01   0.136897E-01   0.718681E+02
   256   0.535813E+04   0.291948E+01   0.136854E-01   0.734383E+02
   257   0.533699E+04   0.301588E+01   0.136772E-01   0.749885E+02
   258   0.531530E+04   0.311469E+01   0.136651E-01   0.765312E+02
   259   0.529316E+04   0.321578E+01   0.136493E-01   0.780517E+02
   260   0.527063E+04   0.331913E+01   0.136297E-01   0.795647E+02
   261   0.524756E+04   0.342468E+01   0.136065E-01   0.810480E+02
   262   0.522396E+04   0.353264E+01   0.135797E-01   0.825238E+02
   263   0.520019E+04   0.364280E+01   0.135495E-01   0.839846E+02
   264   0.517581E+04   0.375522E+01   0.135159E-01   0.854231E+02
   265   0.515090E+04   0.386983E+01   0.134791E-01   0.868318E+02
   266   0.512568E+04   0.398686E+01   0.134391E-01   0.882328E+02
   267   0.509993E+04   0.410592E+01   0.133959E-01   0.896041E+02
   268   0.507379E+04   0.422741E+01   0.133497E-01   0.909602E+02
   269   0.504712E+04   0.435100E+01   0.133006E-01   0.922939E+02
   270   0.502021E+04   0.447679E+01   0.132486E-01   0.936052E+02
   271   0.499285E+04   0.460469E+01   0.131939E-01   0.948939E+02
   272   0.496525E+04   0.473500E+01   0.131365E-01   0.961526E+02
   273   0.493720E+04   0.486713E+01   0.130765E-01   0.973962E+02
   274   0.490884E+04   0.500167E+01   0.130139E-01   0.986024E+02
   275   0.488010E+04   0.513810E+01   0.129490E-01   0.997934E+02
   276   0.485113E+04   0.527664E+01   0.128817E-01   0.100947E+03
   277   0.482170E+04   0.541730E+01   0.128121E-01   0.102085E+03
   278   0.479205E+04   0.555999E+01   0.127404E-01   0.103186E+03
   279   0.476209E+04   0.570464E+01   0.126666E-01   0.104257E+03
   280   0.473182E+04   0.585126E+01   0.125908E-01   0.105312E+03
   281   0.470140E+04   0.599991E+01   0.125131E-01   0.106330E+03
   282   0.467052E+04   0.615031E+01   0.124336E-01   0.107318E+03
   283   0.463950E+04   0.630266E+01   0.123523E-01   0.108276E+03
   284   0.460824E+04   0.645690E+01   0.122694E-01   0.109203E+03
   285   0.457676E+04   0.661302E+01   0.121849E-01   0.110100E+03
   286   0.454497E+04   0.677088E+01   0.120990E-01   0.110960E+03
   287   0.451296E+04   0.693048E+01   0.120116E-01   0.111797E+03
   288   0.448080E+04   0.709182E+01   0.119229E-01   0.112596E+03
   289   0.444841E+04   0.725481E+01   0.118330E-01   0.113364E+03
   290   0.441587E+04   0.741932E+01   0.117419E-01   0.114103E+03
   291   0.438318E+04   0.758608E+01   0.116498E-01   0.114796E+03
   292   0.435004E+04   0.775399E+01   0.115567E-01   0.115466E+03
   293   0.431705E+04   0.792266E+01   0.114628E-01   0.116091E+03
   294   0.428376E+04   0.809358E+01   0.113680E-01   0.116694E+03
   295   0.425054E+04   0.826528E+01   0.112725E-01   0.117250E+03
   296   0.421703E+04   0.843922E+01   0.111764E-01   0.117777E+03
   297   0.418345E+04   0.861319E+01   0.110798E-01   0.118273E+03
   298   0.414964E+04   0.878941E+01   0.109827E-01   0.118724E+03
   299   0.411583E+04   0.896714E+01   0.108852E-01   0.119136E+03
   300   0.408188E+04   0.914489E+01   0.107875E-01   0.119511E+03
   301   0.404786E+04   0.932415E+01   0.106895E-01   0.119856E+03
   302   0.401384E+04   0.950417E+01   0.105914E-01   0.120170E+03
   303   0.397975E+04   0.968570E+01   0.104932E-01   0.120438E+03
   304   0.394558E+04   0.986873E+01   0.103950E-01   0.120661E+03
   305   0.391142E+04   0.100518E+02   0.102968E-01   0.120854E+03
   306   0.387719E+04   0.102356E+02   0.101987E-01   0.121008E+03
   307   0.384296E+04   0.104202E+02   0.101008E-01   0.121118E+03
   308   0.380874E+04   0.106070E+02   0.100030E-01   0.121204E+03
